국적별,2017년09월,2017년10월,2017년11월,2017년12월,2018년01월,2018년02월,2018년03월,2018년04월,2018년05월,2018년06월,2018년07월,2018년08월,2018년09월,2018년10월,2018년11월,2018년12월,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,2020년01월,2020년02월,2020년03월,2020년04월,2020년05월,2020년06월,2020년07월,2020년08월,2020년09월,2020년10월,2020년11월,2020년12월,2021년01월,2021년02월,2021년03월,2021년04월,2021년05월,2021년06월,2021년07월,2021년08월,2021년09월,2021년10월,2021년11월,2021년12월,2022년01월,2022년02월,2022년03월,2022년04월,2022년05월,2022년06월,2022년07월,2022년08월,2022년09월,2022년10월,2022년11월,2022년12월,2023년01월,2023년02월,2023년03월,계
인  도,"9,771","10,023","8,826","7,524","7,421","7,093","9,363","10,641","11,625","10,346","9,929","10,610","11,393","12,683","10,247","8,440","8,671","8,309","10,646","12,933","13,858","13,249","10,432","17,001","12,716","13,160","12,184","10,208","9,249","5,839","1,587",210,415,"1,799","3,694","2,060","2,408","2,348","1,938","2,283","2,725","2,320","2,970","2,357","1,942","2,072","2,697","3,125","2,734","3,192","2,745","2,459","2,871","3,249","3,303","3,114","4,250","5,160","6,656","7,159","7,227","7,968","8,253","5,619","4,481","4,664","8,427","446,871"
베트남,"28,800","38,472","28,695","24,009","16,285","24,508","37,656","50,727","33,676","48,295","46,310","37,085","37,481","55,380","40,571","29,844","20,183","42,181","46,991","63,169","44,416","58,339","52,521","43,583","43,617","64,820","43,190","30,721","30,232","30,313","4,048","6,597","1,381","1,032","1,060","1,938","1,447",853,"1,269","1,769","1,012","1,702","2,144","1,349","1,726","2,133","1,704","1,994","1,788","1,511","2,132","3,751","2,318","5,002","5,096","4,041","6,429","12,884","18,867","24,670","22,784","32,010","27,313","23,647","21,621","28,828","34,929","1,506,849"
미얀마,"6,014","5,590","5,191","6,379","5,988","5,305","6,092","7,360","6,483","5,915","6,309","5,252","5,509","6,083","5,306","5,492","5,289","5,367","7,021","7,272","6,556","6,303","5,421","5,523","6,534","5,876","5,660","6,900","5,654","4,319","2,519",763,701,980,"3,803","4,141","4,899","4,935","4,765","5,927","5,249","4,268","4,772","4,334","4,299","4,985","4,521","4,116","4,065","5,062","5,388","5,669","5,215","4,291","4,781","4,728","5,613","5,275","6,654","6,619","5,959","7,206","5,472","4,144","3,209","3,271","5,248","345,809"
몽  골,"9,354","10,294","11,452","9,758","10,793","8,901","10,664","7,607","7,793","9,123","9,070","10,418","11,100","10,729","9,464","8,202","9,785","9,176","8,724","7,582","8,014","9,244","8,766","9,626","10,900","11,221","10,519","10,042","12,323","6,399",674,616,78,124,81,561,239,75,171,135,119,327,178,157,276,288,323,992,"1,033",424,384,"1,268",628,"1,174","1,304","1,018","1,161","3,864","5,892","8,749","8,915","8,002","9,986","11,977","12,585","10,000","12,412","393,233"
스리랑카,"1,909","1,585","1,021","1,134","1,500","1,153","1,491","1,400","1,692","1,930","1,525","1,623","1,720","1,742","1,045","1,080","1,287","1,516","1,494","1,478","1,538","1,819","1,355","1,916","2,103","1,449","1,070","1,313","1,377","1,088",441,183,442,223,326,166,235,243,138,208,224,161,385,306,288,298,333,342,380,339,401,600,751,475,817,611,757,"1,438","1,420","1,293","1,837","1,910","2,357","1,771","1,516","1,632","1,996","71,596"
파키스탄,"1,178","1,317",917,921,"1,156","1,301","1,453","1,132","1,143","1,111","1,205","1,170","1,329","1,220","1,015",953,"1,032","1,439","1,282","1,218",854,979,"1,087","1,191","1,459","1,010","1,011","1,159","1,014","1,037",474,67,215,249,125,94,72,54,67,135,176,325,270,417,131,203,121,163,193,118,164,283,363,538,490,637,609,725,800,"1,034",966,"1,589",935,825,779,"1,005","1,110","50,814"
방글라데시,"1,459","1,615","1,026","1,271","1,231","1,242","1,492","1,223","1,168","1,255","1,363","1,550","1,584","1,557","1,270","1,216","1,247","1,656","1,704","1,318","1,225","1,260","1,196","1,868","1,880","1,715","1,286","1,597","1,299",996,566,11,172,169,245,278,213,217,212,152,164,109,428,199,238,154,173,145,149,247,344,596,720,689,898,"1,117","1,095","1,213","1,314","1,959","1,395","1,228","1,862","1,784","1,302","1,442","1,762","66,730"
아시아주 기타,"8,103","10,510","9,345","13,828","7,984","10,595","11,029","12,222","11,829","10,772","12,024","11,958","8,459","11,046","10,599","14,247","8,585","11,209","10,287","14,335","10,488","11,696","11,405","13,139","11,140","12,114","12,993","17,094","12,997","5,957","2,444",557,369,712,741,263,444,452,376,520,470,563,619,749,738,806,420,862,623,653,"1,065","1,957","2,142","2,072","2,471","3,072","4,394","5,213","5,502","6,122","7,007","6,825","8,449","7,685","7,966","8,618","9,477","441,407"
중 동,"20,049","20,917","17,997","15,595","15,758","16,080","22,644","22,183","19,348","19,469","21,810","23,229","21,159","22,634","18,081","15,320","15,112","16,878","22,850","22,668","17,969","23,074","23,880","25,117","24,078","24,364","20,192","16,443","17,220","14,849","2,086",134,151,892,"1,740","1,229","1,473","1,214","1,168","1,167","1,510","2,220","2,634","3,052","2,813","3,269","3,671","4,407","3,958","3,930","2,936","2,569","2,757","3,856","3,820","5,192","9,533","12,505","13,804","16,147","15,371","14,785","15,369","11,355","10,995","12,511","16,110","809,300"
우즈베키스탄,"7,353","7,102","6,598","5,306","5,431","5,585","7,514","7,143","6,891","6,750","6,997","7,596","7,959","8,463","7,142","5,513","5,754","7,149","8,405","7,378","6,839","7,295","7,405","7,983","9,056","8,375","7,176","5,461","6,135","6,888",782,7,10,233,769,64,414,202,95,174,395,615,930,"1,444","1,140","1,534","1,539","1,488","1,616","1,194",856,923,"1,003","1,575","1,510","1,454","2,275","3,152","3,997","5,781","5,377","3,761","3,541","2,769","3,819","4,644","4,289","276,013"
