국적별,2017년09월,2017년10월,2017년11월,2017년12월,2018년01월,2018년02월,2018년03월,2018년04월,2018년05월,2018년06월,2018년07월,2018년08월,2018년09월,2018년10월,2018년11월,2018년12월,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,2020년01월,2020년02월,2020년03월,2020년04월,2020년05월,2020년06월,2020년07월,2020년08월,2020년09월,2020년10월,2020년11월,2020년12월,2021년01월,2021년02월,2021년03월,2021년04월,2021년05월,2021년06월,2021년07월,2021년08월,2021년09월,2021년10월,2021년11월,2021년12월,2022년01월,2022년02월,2022년03월,2022년04월,2022년05월,2022년06월,2022년07월,2022년08월,2022년09월,2022년10월,2022년11월,2022년12월,2023년01월,2023년02월,2023년03월,계
스위스,"1,393","1,728","1,257",900,"1,057","2,399","1,499","1,750","1,452","1,213","1,655","1,407","1,667","1,981","1,192",831,747,877,"1,224","2,236","1,585","1,239","2,029","1,664","1,923","2,137","1,172","1,014",762,566,105,33,28,27,41,122,55,46,60,39,53,147,69,70,95,86,143,228,169,184,154,98,92,186,117,472,476,552,990,"1,002","1,170","1,458",845,709,544,705,"1,598","55,524"
노르웨이,"1,092","1,351","1,049",757,993,"1,764","1,408","1,006",863,"1,099","1,293",983,"1,053","1,317","1,091",745,801,577,858,"1,489",820,"1,156","1,494",803,"1,054","1,218",837,663,543,441,97,35,55,44,32,64,55,53,68,20,59,62,36,26,34,63,66,142,75,179,120,59,121,115,60,262,382,472,406,529,517,693,540,477,530,500,998,"38,664"
스페인,"2,155","2,337","2,272","1,449","1,632","1,512","2,268","2,022","2,257","2,134","2,659","3,385","2,551","2,938","2,480","1,476","1,368","1,373","2,007","2,678","2,403","2,590","3,066","4,554","3,134","3,140","2,610","1,733","1,560","1,068",255,31,67,51,76,189,68,107,109,68,106,208,165,84,121,120,129,511,313,310,449,203,229,336,396,821,814,901,"1,325","2,123","1,752","2,268","1,950","1,452","1,230","1,315","2,521","91,984"
루마니아,"1,163","1,133",877,708,732,641,970,"1,145","1,089",983,905,926,"1,047","1,301",921,712,872,771,"1,044","1,323","1,122",984,945,"1,432","1,179","1,295","1,040",774,856,471,173,82,93,162,228,251,224,212,262,186,256,223,254,261,214,186,245,265,331,376,324,360,359,370,417,372,413,425,505,531,589,885,549,457,409,485,995,"42,290"
벨기에,"1,130","1,120",972,620,755,814,"1,065","1,308","1,017",914,"1,281","1,027","1,146","1,399","1,007",766,709,654,"1,400","1,490","1,245","1,181","1,549","1,305","1,542","1,505","1,205",754,722,547,164,57,179,92,90,166,94,129,139,118,130,175,115,101,125,154,167,334,204,248,235,160,205,274,187,396,527,563,842,927,"1,022","1,134",974,677,614,717,"1,184","45,768"
구 주 기타,"7,993","8,247","7,076","5,870","5,875","10,387","7,882","8,032","7,534","6,946","7,489","8,154","8,028","9,334","7,362","6,115","6,250","6,083","7,330","9,504","8,520","7,837","8,511","9,849","9,724","10,807","8,659","6,816","6,696","4,930","1,029",243,683,768,737,"1,199",889,882,"1,034","1,037",940,"1,143",882,839,874,"1,059","1,127","2,042","1,431","1,758","1,876","1,255","1,609","1,964","1,365","2,250","2,888","3,187","3,785","4,776","4,600","6,224","5,097","4,000","3,737","4,175","7,259","314,483"
대양주,"16,413","15,442","13,147","18,799","14,899","11,167","13,431","19,066","16,040","15,226","14,735","14,920","19,151","18,648","15,170","20,978","17,624","10,622","15,144","24,211","17,368","17,352","15,205","17,368","21,830","20,375","16,996","23,896","17,755","8,892","1,085",235,182,208,439,316,276,301,378,387,348,363,310,377,294,305,433,496,392,498,835,923,827,865,"1,012","3,027","4,457","5,160","5,666","6,071","10,240","11,738","12,019","21,001","15,247","9,618","16,948","635,147"
오스트레일리아,"12,979","12,299","10,190","14,996","11,688","8,769","10,693","15,500","12,472","11,841","11,491","11,577","15,310","14,907","11,711","17,174","14,285","8,331","12,263","19,938","13,558","13,201","11,840","13,647","17,269","16,251","13,346","19,289","14,039","6,857",760,124,137,111,205,156,145,170,238,230,205,187,172,169,175,192,256,281,259,315,609,683,611,634,754,"2,476","3,613","4,147","4,418","4,835","8,180","9,086","9,769","16,979","12,617","7,899","14,179","503,687"
뉴질랜드,"2,875","2,663","2,470","3,242","2,659","2,013","2,360","3,101","3,035","2,864","2,670","2,733","3,281","3,233","2,840","3,416","2,725","1,863","2,451","3,802","3,172","3,547","2,799","3,112","4,035","3,728","3,365","4,355","3,553","1,912",275,98,40,72,117,119,91,86,110,125,104,118,107,123,98,94,151,136,122,167,206,234,193,210,220,506,811,967,"1,153","1,156","1,959","2,517","2,111","3,919","2,584","1,665","2,646","115,284"
키리바시,90,54,65,134,89,77,54,59,61,52,75,80,49,98,98,79,59,77,82,99,81,89,75,54,45,72,37,82,37,38,33,11,2,9,31,23,13,31,21,20,13,46,19,71,0,4,14,12,1,5,4,0,4,10,23,13,4,6,21,5,8,15,4,0,2,5,8,"2,652"
피  지,284,265,259,288,393,210,199,209,188,282,250,309,321,214,327,214,472,237,194,214,336,300,250,321,273,83,81,71,49,30,3,0,2,1,17,9,4,5,5,1,10,7,6,6,8,4,0,9,5,3,7,2,10,7,2,7,17,33,15,41,35,50,41,48,27,15,40,"7,625"
대양주 기타,185,161,163,139,70,98,125,197,284,187,249,221,190,196,194,95,83,114,154,158,221,215,241,234,208,241,167,99,77,55,14,2,1,15,69,9,23,9,4,11,16,5,6,8,13,11,12,58,5,8,9,4,9,4,13,25,12,7,59,34,58,70,94,55,17,34,75,"5,899"
아프리카주,"5,243","4,646","3,698","3,312","3,148","4,098","4,060","4,713","5,333","4,031","5,055","5,637","4,748","5,500","3,837","3,559","3,690","4,667","4,743","5,017","4,278","4,598","5,356","6,751","6,316","6,102","4,741","4,000","4,198","4,160","1,183",199,160,242,443,759,661,755,798,816,"1,006","1,156",805,704,726,864,902,"1,712","1,097","1,086","1,177",852,"1,048","1,708","1,355","1,235","2,033","2,032","2,627","3,781","3,271","4,344","3,347","2,951","2,751","3,233","3,718","196,772"
남아프리카 공화국,981,"1,034",590,734,903,"1,095",794,985,"1,087",858,948,"1,479","1,047","1,046",700,853,"1,000","1,191",945,"1,159","1,064",973,933,"1,887","1,197","1,175",698,922,"1,272","1,004",237,22,29,61,67,95,86,78,94,98,79,70,60,31,61,109,123,223,115,94,127,103,104,435,206,280,361,307,486,856,519,748,472,742,795,931,778,"40,636"
나이지리아,512,217,213,227,139,211,212,207,320,179,210,241,238,263,176,159,174,287,228,164,192,207,217,307,588,250,218,197,158,253,83,4,3,8,18,65,14,20,30,19,34,83,53,13,21,21,16,94,63,64,34,26,25,72,66,43,174,84,89,189,244,342,108,123,117,119,157,"9,902"
이집트,726,863,859,668,643,740,806,847,732,635,773,542,466,585,474,387,390,437,513,489,322,482,555,462,553,654,537,439,362,315,103,45,34,30,136,109,83,97,90,103,80,93,84,108,122,176,132,231,205,224,233,219,193,177,222,178,242,335,313,388,405,524,433,363,299,376,406,"24,847"
아프리카주 기타,"3,024","2,532","2,036","1,683","1,463","2,052","2,248","2,674","3,194","2,359","3,124","3,375","2,997","3,606","2,487","2,160","2,126","2,752","3,057","3,205","2,700","2,936","3,651","4,095","3,978","4,023","3,288","2,442","2,406","2,588",760,128,94,143,222,490,478,560,584,596,813,910,608,552,522,558,631,"1,164",714,704,783,504,726,"1,024",861,734,"1,256","1,306","1,739","2,348","2,103","2,730","2,334","1,723","1,540","1,807","2,377","121,387"
기 타,"23,534","25,218","23,285","22,470","19,262","16,920","23,751","23,930","23,252","21,363","19,562","20,202","19,602","24,581","20,528","18,915","15,580","14,498","19,282","20,238","18,860","17,155","15,645","16,617","16,668","17,979","15,264","5,328","8,853","7,649","1,626",701,794,885,943,"1,039","1,016","1,025","1,086",915,815,785,816,949,"1,015",989,"1,253","1,207","1,334","1,734","1,404","1,048",850,953,"1,051","2,148","2,259","2,449","2,427","2,363","3,287","3,613","3,470","3,366","2,801","2,473","3,723","616,603"
교포,"23,472","25,175","23,233","22,416","19,196","16,867","23,696","23,865","23,181","21,287","19,502","20,127","19,540","24,518","20,456","18,838","15,526","14,459","19,225","20,174","18,788","17,111","15,587","16,560","16,619","17,939","15,233","5,281","8,792","7,609","1,615",698,790,882,933,"1,036","1,012","1,024","1,085",915,811,779,808,947,"1,011",986,"1,250","1,198","1,328","1,728","1,404","1,042",849,916,"1,043","2,139","2,244","2,445","2,384","2,319","3,269","3,595","3,456","3,334","2,789","2,455","3,710","614,501"
미상,62,43,52,54,66,53,55,65,71,76,60,75,62,63,72,77,54,39,57,64,72,44,58,57,49,40,31,47,61,40,11,3,4,3,10,3,4,1,1,0,4,6,8,2,4,3,3,9,6,6,0,6,1,37,8,9,15,4,43,44,18,18,14,32,12,18,13,"2,102"
전 체,"1,078,653","1,165,638","1,093,217","1,134,068","956,036","1,045,415","1,366,100","1,331,709","1,238,021","1,282,093","1,254,833","1,391,727","1,278,604","1,527,832","1,350,390","1,324,119","1,104,803","1,201,802","1,535,641","1,635,066","1,485,684","1,476,218","1,448,067","1,586,299","1,459,664","1,656,195","1,456,429","1,456,888","1,272,708","685,212","83,497","29,415","30,806","36,938","61,012","68,797","65,040","61,585","61,764","62,344","58,397","65,582","74,604","70,112","74,463","77,029","83,005","97,087","89,800","92,416","94,358","90,150","81,851","99,999","96,768","127,919","175,922","227,713","263,986","310,945","337,638","476,097","459,906","539,273","434,429","479,248","800,575","45,719,601"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
